url	filename	size	sha256
http://deb.debian.org/debian/pool/main/d/debian-archive-keyring/debian-archive-keyring_2025.1.dsc	debian-archive-keyring_2025.1.dsc	1267	09604bd8d4562a1e942e5d1a19a6b82447cbdeb2e7c7f0df7c32a2503647ea47
http://deb.debian.org/debian/pool/main/d/debian-archive-keyring/debian-archive-keyring_2025.1.tar.xz	debian-archive-keyring_2025.1.tar.xz	138248	2d019c3fa19c42da4d37571e473c296286dad0214cb3bd5cafd99f04a8bf5471
http://deb.debian.org/debian/pool/main/d/debianutils/debianutils_5.23.2.dsc	debianutils_5.23.2.dsc	1908	471b65deec232bb033f3e3e06d5bf64dac0ced474c6fd61d41538f3f3de876f8
http://deb.debian.org/debian/pool/main/d/debianutils/debianutils_5.23.2.tar.xz	debianutils_5.23.2.tar.xz	82376	79e524b7526dba2ec5c409d0ee52ebec135815cf5b2907375d444122e0594b69
http://deb.debian.org/debian/pool/main/d/diffutils/diffutils_3.10-4.dsc	diffutils_3.10-4.dsc	1875	087b414ddfc92161a30186926bc4b4ac02c7cba589b0323561cacd54c8b48392
http://deb.debian.org/debian/pool/main/d/diffutils/diffutils_3.10.orig.tar.xz	diffutils_3.10.orig.tar.xz	1624240	90e5e93cc724e4ebe12ede80df1634063c7a855692685919bfe60b556c9bd09e
http://deb.debian.org/debian/pool/main/d/diffutils/diffutils_3.10.orig.tar.xz.asc	diffutils_3.10.orig.tar.xz.asc	833	a94faf8f1baa04ff220f7b2ccb137c16337284e023ebc4a1d5df475c08d810f7
http://deb.debian.org/debian/pool/main/d/diffutils/diffutils_3.10-4.debian.tar.xz	diffutils_3.10-4.debian.tar.xz	14304	8588b6ffb897ccff46c583e58ef50500b2511eee41949b21e8afa5439712c2c7
http://deb.debian.org/debian/pool/main/d/dpkg/dpkg_1.22.22.dsc	dpkg_1.22.22.dsc	3449	fc481d9b87cd4416cd55673cc1fa716b57480a6b23253ac0d87c1abbfad4c964
http://deb.debian.org/debian/pool/main/d/dpkg/dpkg_1.22.22.tar.xz	dpkg_1.22.22.tar.xz	5746724	d5ea9f132deec8030b50ab2a02ade2b49f0c7a195805a302c8301156fe833a57
http://deb.debian.org/debian/pool/main/f/findutils/findutils_4.10.0-3.dsc	findutils_4.10.0-3.dsc	2291	fa6b67056d9e5b4d8edbfc8ab95ac15ac769b140284426973f6a1ef07a4594ec
